,Suburb,ID,0 to 4,5 to 19,20 to 39,40 to 59,60+,Job requires Tertiary qualification,Job Does not require a Tertiary qualification,% holding Job requiring Tertiary,% holding job not requiring Tertiary,Born in Australia,Born outside of Australia,Percent born in Aus,Percent born outside of Aus
35,Blackburn South,4667,621.0,2011.0,2418.0,2891.0,2847.0,2721.0,1975.0,57.94293015332198,42.057069846678026,6775.0,4018.0,62.772167145372,37.227832854628
36,Bonbeach,5007,439.0,852.0,1859.0,1769.0,1497.0,1656.0,1532.0,51.94479297365119,48.0552070263488,4394.0,2022.0,68.4850374064838,31.51496259351621
37,Boronia,5327,1494.0,3390.0,6512.0,5646.0,5151.0,5021.0,5819.0,46.31918819188192,53.68081180811808,15658.0,6537.0,70.54742059022303,29.452579409776973
38,Box Hill,5477,490.0,1528.0,5099.0,2411.0,1865.0,2624.0,2315.0,53.1281635958696,46.87183640413039,4037.0,7358.0,35.42781921895568,64.57218078104432
39,Braybrook,5697,628.0,1619.0,3421.0,2132.0,1392.0,1271.0,2219.0,36.41833810888252,63.58166189111748,3319.0,5876.0,36.09570418705819,63.90429581294181
40,Briar Hill,5807,228.0,502.0,763.0,848.0,796.0,863.0,700.0,55.214331413947534,44.785668586052466,2514.0,638.0,79.75888324873097,20.241116751269036
41,Brighton,5957,1082.0,4451.0,4382.0,6879.0,6460.0,7160.0,3562.0,66.7785860846857,33.22141391531431,15827.0,7426.0,68.06433578462993,31.935664215370057
42,Brighton East,5997,800.0,3385.0,2683.0,4861.0,4258.0,4590.0,2665.0,63.26671261199173,36.733287388008264,10733.0,5265.0,67.08963620452558,32.91036379547443
43,Broadmeadows,6127,1028.0,2534.0,4015.0,2681.0,1706.0,1019.0,2265.0,31.02923264311815,68.97076735688185,5187.0,6783.0,43.333333333333336,56.666666666666664
44,Brookfield,6207,980.0,2076.0,2896.0,1971.0,1284.0,1456.0,2452.0,37.25690890481064,62.74309109518935,6018.0,3198.0,65.29947916666666,34.70052083333333
45,Brooklyn,6227,126.0,211.0,779.0,423.0,307.0,445.0,517.0,46.25779625779626,53.74220374220374,1020.0,836.0,54.956896551724135,45.043103448275865
46,Brunswick,6377,1107.0,2248.0,12436.0,5298.0,3383.0,9026.0,5441.0,62.39026750535702,37.60973249464298,15011.0,9462.0,61.336983614595674,38.663016385404326
47,Brunswick East,6427,475.0,1078.0,6233.0,2350.0,1367.0,4476.0,2560.0,63.61569073337123,36.38430926662877,7092.0,4412.0,61.648122392211405,38.351877607788595
48,Brunswick West,6447,774.0,1657.0,6145.0,3297.0,2271.0,4415.0,3226.0,57.78039523622562,42.21960476377438,8728.0,5431.0,61.64277138215976,38.35722861784024
49,Bulleen,6707,557.0,1699.0,2493.0,2976.0,3150.0,2593.0,2243.0,53.61869313482217,46.381306865177834,5931.0,4942.0,54.54796284374138,45.452037156258626
50,Bullengarook,6717,31.0,140.0,112.0,210.0,145.0,188.0,135.0,58.204334365325074,41.795665634674926,521.0,124.0,80.7751937984496,19.224806201550386
51,Bundoora,6877,1449.0,4795.0,9986.0,6673.0,5778.0,5624.0,6998.0,44.55712248455078,55.44287751544922,15575.0,13078.0,54.35730988029177,45.642690119708234
52,Burnley,7117,46.0,71.0,417.0,160.0,88.0,319.0,175.0,64.5748987854251,35.4251012145749,553.0,216.0,71.91157347204161,28.088426527958386
53,Burnside,7137,306.0,1015.0,1206.0,1308.0,911.0,691.0,1347.0,33.905789990186456,66.09421000981355,2414.0,2337.0,50.81035571458641,49.1896442854136
54,Burnside Heights,48297,726.0,1494.0,2107.0,1371.0,374.0,1138.0,1596.0,41.62399414776884,58.37600585223116,3013.0,3059.0,49.621212121212125,50.378787878787875
