,Suburb,ID
280,The Basin,39797
281,Thomastown,39897
282,Thornbury,39937
283,Toorak,40457
284,Travancore,40727
285,Truganina,40897
286,Tullamarine,40947
287,Upwey,41407
288,Vermont,41507
289,Vermont South,41517
290,Viewbank,41617
291,Wallan,41947
292,Wantirna,42327
293,Wantirna South,42337
294,Warrandyte,42597
295,Waterways,42857
296,Watsonia,42887
297,Watsonia North,42897
298,Werribee,43317
299,West Footscray,43407
300,West Melbourne,43457
301,Westmeadows,43577
302,Wheelers Hill,43647
303,Whittlesea,43777
304,Williams Landing,48227
305,Williamstown,43967
306,Williamstown North,43977
307,Windsor,44117
308,Wollert,44357
309,Wonga Park,44437
310,Wyndham Vale,45307
311,Yallambie,45427
312,Yarra Glen,45657
313,Yarraville,45777
