,Unnamed: 0,Suburb,ID,0 to 4,5 to 19,20 to 39,40 to 59,60+
117,117,Epping,13867,2825,6208,10825,7975,4567
118,118,Essendon,13957,1002,3543,6398,5679,3968
119,119,Essendon North,13977,137,439,1069,777,569
120,120,Essendon West,13997,70,310,345,406,317
121,121,Fairfield,14197,359,934,2416,1787,1058
122,122,Fawkner,14297,1157,2631,4316,2927,3005
123,123,Ferntree Gully,14407,1666,4624,7168,7175,5789
124,124,Fitzroy,14527,546,952,5015,2474,1466
125,125,Fitzroy North,14567,522,1460,5054,3084,2219
126,126,Flemington,14617,510,1243,3070,1784,1106
127,127,Footscray,14717,925,1549,8378,3332,2166
128,128,Forest Hill,14827,608,1784,2776,2789,2658
129,129,Frankston,14947,2294,5712,10385,9258,8456
130,130,Frankston North,15007,387,961,1537,1487,1389
131,131,Frankston South,15027,1031,3514,3578,5205,4871
132,132,Gardenvale,15237,59,134,366,251,196
133,133,Gisborne,15737,697,1939,1961,2569,1834
134,134,Gladstone Park,15787,483,1334,2067,2025,2434
135,135,Glen Huntly,15877,309,537,2446,1005,746
136,136,Glen Iris,15907,1325,5110,6972,7014,4852
137,137,Glen Waverley,15957,1738,8078,9965,10857,9695
138,138,Glenroy,16477,1642,3357,8180,4723,4344
139,139,Gowanbrae,16877,221,558,722,762,502
140,140,Greensborough,17297,1341,3795,5324,5676,4700
141,141,Greenvale,17317,983,3306,4374,4595,2218
142,142,Hadfield,17537,379,937,1585,1310,1375
143,143,Hallam,17567,758,2081,3182,2729,2096
144,144,Hampton,17737,707,3020,2460,4380,2825
145,145,Hampton East,17757,335,786,1203,1386,983
146,146,Hampton Park,17807,2014,5675,7814,6724,3301
147,147,Hawthorn,18087,1023,3450,10593,4892,3551
148,148,Hawthorn East,18117,776,2282,5413,3312,2547
149,149,Healesville,18247,444,1341,1474,2140,2060
150,150,Heathmont,18347,695,1816,2363,2693,2118
151,151,Heidelberg,18387,464,939,1983,1536,1306
152,152,Heidelberg Heights,18397,419,861,2106,1555,1122
153,153,Heidelberg West,18427,421,1017,1760,1314,1036
154,154,Highett,18717,787,1814,2679,3106,2072
155,155,Hillside,18837,1132,4280,4688,5158,1799
156,156,Hoppers Crossing,19067,2594,7715,11089,10678,6617
157,157,Hughesdale,19257,474,1256,2515,1993,1318
158,158,Huntingdale,19317,123,319,671,455,286
159,159,Hurstbridge,19387,193,772,752,1069,658
160,160,Ivanhoe,19767,631,2086,3350,3468,2630
161,161,Ivanhoe East,19787,192,805,742,1141,938
162,162,Jacana,19797,134,305,720,511,449
163,163,Kealba,20817,208,549,995,815,634
164,164,Keilor,20857,240,1177,1185,1660,1611
165,165,Keilor Downs,20887,534,1683,2642,2669,2453
166,166,Keilor East,20897,831,2449,3331,3814,4084
167,167,Keilor Lodge,20917,79,331,431,559,342
168,168,Keilor Park,20957,193,385,649,633,865
169,169,Kensington,21037,741,1166,5108,2496,1310
170,170,Kew,21137,1065,4575,6764,6642,5547
171,171,Kew East,21167,376,1429,1455,2001,1380
172,172,Keysborough,21197,1750,5095,7672,6617,4667
173,173,Kilsyth,21497,743,1771,3019,2580,2761
174,174,Kings Park,21657,525,1559,2289,2048,1767
175,175,Kingsbury,21677,186,493,1708,684,697
176,176,Kingsville,21717,377,548,1431,1052,523
177,177,Knoxfield,21867,457,1355,1937,1928,1788
178,178,Kooyong,22117,20,160,182,211,244
179,179,Kurunjang,22327,820,2255,2957,2617,1412
180,180,Lalor,22937,1582,3879,6738,5218,5164
181,181,Langwarrin,23137,1490,4487,6046,6570,4002
182,182,Lower Plenty,24457,214,625,902,1055,1082
183,183,Maidstone,24877,597,1273,3895,2008,1255
184,184,Malvern,25047,518,1789,2606,2570,2573
185,185,Malvern East,25077,1089,4075,6639,5741,4160
186,186,Maribyrnong,25307,691,1767,5063,3166,1530
187,187,McKinnon,25657,299,1506,1232,1952,1071
188,188,Meadow Heights,25717,1104,3582,4370,3864,1922
189,189,Melbourne,25807,1016,4576,32487,5724,3476
190,190,Melton,25957,564,1359,2181,1932,2052
191,191,Melton South,25997,925,2103,3481,2722,2300
192,192,Melton West,26007,1645,3997,5424,4186,2337
193,193,Mentone,26087,690,2097,3396,3692,3094
194,194,Mernda,26237,2091,3148,6238,3524,1456
195,195,Middle Park,26507,232,668,987,1249,1001
196,196,Mill Park,26637,1661,5437,8493,8774,5333
197,197,Mitcham,26977,1114,2697,4715,4345,3283
198,198,Monbulk,27267,206,757,722,1031,867
199,199,Mont Albert,27307,223,958,1200,1380,1086
200,200,Montmorency,27387,638,1584,2190,2497,2047
201,201,Montrose,27397,415,1263,1593,1820,1671
202,202,Moonee Ponds,27497,797,2173,4636,3828,2834
203,203,Moorabbin,27577,403,924,1672,1584,1318
204,204,Mooroolbark,27707,1536,4256,6316,5611,4231
205,205,Mordialloc,27817,516,1476,2192,2414,1566
206,206,Mount Evelyn,28237,639,2059,2503,2769,1731
207,207,Mount Waverley,28457,1612,6318,8400,9181,8114
208,208,Mulgrave,29167,1198,3152,5508,4833,4683
209,209,Murrumbeena,29437,589,1542,3449,2642,1714
210,210,Narre Warren,30017,1831,5452,7797,7407,4133
211,211,New Gisborne,30407,175,569,484,697,470
212,212,Newport,30557,1079,2310,3670,3983,1874
213,213,Niddrie,30687,342,1023,1418,1619,1071
214,214,Noble Park,30827,2258,4757,11010,6996,5970
215,215,North Melbourne,31037,589,2069,8171,2613,1498
216,216,North Warrandyte,31077,195,674,561,1025,488
217,217,Northcote,31107,1376,3656,8698,6833,3993
218,218,Notting Hill,31177,147,389,1704,483,325
219,219,Nunawading,31307,788,2007,3500,3012,2568
220,220,Oak Park,31507,425,1025,2115,1568,1076
221,221,Oakleigh,31547,420,1338,2465,2164,1520
222,222,Oakleigh East,31567,401,909,2461,1464,1209
223,223,Oakleigh South,31597,514,1506,2578,2514,2150
224,224,Officer,31647,720,1420,2687,1641,659
225,225,Ormond,31767,445,1630,2657,2376,1312
226,226,Pakenham,31947,4708,9742,14897,10196,6880
227,227,Parkdale,32107,224,1408,3838,801,1126
228,228,Parkville,32107,224,1408,3838,801,1126
229,229,Pascoe Vale,32147,1202,2619,5860,4228,3145
230,230,Plumpton,32897,456,805,2007,759,301
231,231,Point Cook,32927,5584,11177,17084,12404,3671
232,232,Port Melbourne,33267,967,1702,5349,4979,3193
233,233,Prahran,33397,505,965,6813,2742,1946
234,234,Preston,33507,1987,4745,11724,8785,5615
235,235,Princes Hill,33537,105,257,809,467,480
236,236,Reservoir,34167,3393,7019,16846,12069,11138
237,237,Richmond,34297,1173,2438,13885,6249,3979
238,238,Riddells Creek,34347,207,871,778,1287,806
239,239,Ringwood,34397,1195,2816,5389,4244,3821
240,240,Ringwood East,34437,697,1763,2805,2799,2208
241,241,Ringwood North,34477,549,2001,2116,2884,2279
242,242,Ripponlea,34527,121,258,647,361,171
243,243,Rockbank,34697,81,269,421,441,323
244,244,Rosanna,34817,583,1459,2020,2235,2198
245,245,Rowville,35057,1865,7010,8491,10494,5796
246,246,Roxburgh Park,35077,1702,6060,6121,5888,2044
247,247,Sandhurst,35597,424,973,1325,1485,784
248,248,Sandringham,35637,492,1923,1960,3122,2737
249,249,Scoresby,35767,324,1233,1593,1758,1116
250,250,Seabrook,35847,380,1058,1445,1548,683
251,251,Seaford,35867,1082,2373,4552,4612,3838
252,252,Seaholme,35887,117,296,424,593,499
253,253,Seddon,35997,417,614,2073,1418,600
254,254,Silvan,36387,79,251,254,371,297
255,255,Skye,36517,683,1859,2299,2375,884
256,256,South Kingsville,36757,160,284,675,558,272
257,257,South Melbourne,36797,566,1034,4421,2893,2014
258,258,South Morang,36827,1879,5522,7112,6460,3086
259,259,South Yarra,36877,812,1925,13859,4831,3711
260,260,Southbank,36897,579,1129,12509,3024,1465
261,261,Spotswood,36987,210,367,873,730,425
262,262,Springvale,37117,1371,3433,7597,4938,4355
263,263,Springvale South,37157,823,2373,3931,3255,2385
264,264,St Albans,37177,2420,6174,12199,8625,7904
265,265,St Helena,37357,164,537,673,856,691
266,266,St Kilda,37407,625,1178,10664,5205,2546
267,267,Strathmore,38037,414,1849,1849,2547,1759
268,268,Strathmore Heights,38047,60,193,237,249,275
269,269,Sunbury,38197,2439,7211,9372,10191,6871
270,270,Sunshine,38277,724,1398,3767,2258,1637
271,271,Sunshine North,38287,794,2047,3609,2892,2354
272,272,Sunshine West,38297,1202,3146,5808,4381,4052
273,273,Surrey Hills,38357,689,2843,3155,4018,2901
274,274,Sydenham,38547,681,2156,3468,2940,1600
275,275,Tarneit,39087,4208,7993,13388,6765,2202
276,276,Taylors Hill,39447,1340,4032,4359,3830,1361
277,277,Taylors Lakes,39487,604,3120,3734,5224,2823
278,278,Templestowe,39607,697,2944,3589,4599,4815
279,279,Templestowe Lower,39637,728,2270,2854,3577,4003
280,280,The Basin,39797,296,852,1073,1293,903
281,281,Thomastown,39897,1233,3167,6108,4707,5297
282,282,Thornbury,39937,1131,2502,6888,4947,3080
283,283,Toorak,40457,395,1661,3687,3108,4062
284,284,Travancore,40727,115,199,1556,372,242
285,285,Truganina,40897,2767,3888,9631,3363,1050
286,286,Tullamarine,40947,401,851,2139,1646,1567
287,287,Upwey,41407,400,1313,1615,2165,1156
288,288,Vermont,41507,632,2169,2396,2847,2396
289,289,Vermont South,41517,475,2169,2434,3027,3578
290,290,Viewbank,41617,384,1429,1320,1981,1801
291,291,Wallan,41947,930,2469,3189,3003,1482
292,292,Wantirna,42327,718,2389,3441,3624,3619
293,293,Wantirna South,42337,922,3301,4960,5161,4933
294,294,Warrandyte,42597,203,1315,984,1809,1178
295,295,Waterways,42857,174,610,566,823,282
296,296,Watsonia,42887,356,879,1466,1407,1113
297,297,Watsonia North,42897,243,672,972,988,948
298,298,Werribee,43317,2774,7398,11834,10739,7603
299,299,West Footscray,43407,889,1485,4682,2866,1529
300,300,West Melbourne,43457,182,400,3584,994,338
301,301,Westmeadows,43577,316,966,1648,1527,1388
302,302,Wheelers Hill,43647,846,3479,4003,5252,6165
