,Unnamed: 0,Suburb,ID,Jan 2020 Median,April 2020 Median,Jan 2020 Number Sold,April 2020 Number Sold
134,134,Gladstone Park,15787,656000,641000,26,25
135,135,Glen Huntly,15877,,,2,4
136,136,Glen Iris,15907,1988000,1830000,49,38
137,137,Glen Waverley,15957,1360000,1290000,117,106
138,138,Glenroy,16477,667000,673000,72,68
139,139,Gowanbrae,16877,,610000,5,11
140,140,Greensborough,17297,825000,836000,75,53
141,141,Greenvale,17317,720000,721000,53,54
142,142,Hadfield,17537,696000,695000,24,32
143,143,Hallam,17567,590000,600000,29,22
144,144,Hampton,17737,1800000,1855000,36,31
145,145,Hampton East,17757,1220000,1170000,15,18
146,146,Hampton Park,17807,526000,554000,63,53
147,147,Hawthorn,18087,2371000,2525000,37,37
148,148,Hawthorn East,18117,1958000,2050000,40,26
149,149,Healesville,18247,710000,580000,24,22
150,150,Heathmont,18347,933000,890000,30,19
151,151,Heidelberg,18387,1329000,1289000,20,10
152,152,Heidelberg Heights,18397,760000,781000,17,18
153,153,Heidelberg West,18427,683000,760000,12,18
154,154,Highett,18717,1300000,1235000,39,39
155,155,Hillside,18837,670000,670000,39,41
156,156,Hoppers Crossing,19067,534000,540000,124,91
157,157,Hughesdale,19257,,,7,5
158,158,Huntingdale,19317,,,6,6
159,159,Hurstbridge,19387,760000,,17,4
160,160,Ivanhoe,19767,1425000,1280000,19,29
161,161,Ivanhoe East,19787,,,6,6
162,162,Jacana,19797,,,7,3
163,163,Kealba,20817,,,3,8
164,164,Keilor,20857,873000,864000,22,16
165,165,Keilor Downs,20887,655000,,15,9
166,166,Keilor East,20897,818000,834000,56,48
167,167,Keilor Lodge,20917,,,3,
168,168,Keilor Park,20957,,,7,9
169,169,Kensington,21037,1185000,1150000,24,28
170,170,Kew,21137,2590000,2184000,62,62
171,171,Kew East,21167,1833000,1946000,19,18
172,172,Keysborough,21197,751000,732000,91,62
173,173,Kilsyth,21497,695000,680000,44,52
174,174,Kings Park,21657,523000,538000,16,21
175,175,Kingsbury,21677,,722000,8,11
176,176,Kingsville,21717,965000,890000,16,11
177,177,Knoxfield,21867,788000,788000,23,19
178,178,Kooyong,22117,,,2,3
179,179,Kurunjang,22327,438000,443000,47,30
180,180,Lalor,22937,615000,610000,57,54
181,181,Langwarrin,23137,639000,651000,74,54
182,182,Lower Plenty,24457,950000,1312000,12,12
183,183,Maidstone,24877,742000,700000,31,29
184,184,Malvern,25047,2878000,1779000,22,21
185,185,Malvern East,25077,1908000,1750000,45,49
186,186,Maribyrnong,25307,920000,1028000,26,24
187,187,McKinnon,25657,1663000,1620000,16,11
188,188,Meadow Heights,25717,558000,558000,30,16
189,189,Melbourne,25807,,,,3
190,190,Melton,25957,395000,401000,40,19
191,191,Melton South,25997,385000,406000,41,30
192,192,Melton West,26007,438000,508000,33,24
193,193,Mentone,26087,1100000,955000,38,28
194,194,Mernda,26237,566000,580000,80,65
195,195,Middle Park,26507,2858000,3033000,10,12
196,196,Mill Park,26637,684000,681000,64,61
197,197,Mitcham,26977,1047000,1045000,32,59
198,198,Monbulk,27267,670000,,13,9
199,199,Mont Albert,27307,,1799000,6,12
200,200,Montmorency,27387,880000,904000,33,18
201,201,Montrose,27397,740000,735000,25,16
202,202,Moonee Ponds,27497,1376000,1290000,30,39
203,203,Moorabbin,27577,1178000,1075000,20,23
204,204,Mooroolbark,27707,690000,710000,103,68
205,205,Mordialloc,27817,1057000,958000,20,34
206,206,Mount Evelyn,28237,693000,708000,30,26
207,207,Mount Waverley,28457,1322000,1305000,125,86
208,208,Mulgrave,29167,870000,871000,46,46
209,209,Murrumbeena,29437,1350000,1286000,23,19
210,210,Narre Warren,30017,601000,605000,80,60
211,211,New Gisborne,30407,,,8,3
212,212,Newport,30557,995000,1030000,54,44
213,213,Niddrie,30687,953000,890000,16,18
214,214,Noble Park,30827,637000,616000,65,58
215,215,North Melbourne,31037,1300000,1110000,15,18
216,216,North Warrandyte,31077,,,9,5
217,217,Northcote,31107,1375000,1420000,73,58
218,218,Notting Hill,31177,,,4,2
219,219,Nunawading,31307,1055000,1037000,46,38
220,220,Oak Park,31507,840000,727000,20,24
221,221,Oakleigh,31547,1170000,1111000,15,25
222,222,Oakleigh East,31567,969000,999000,16,11
223,223,Oakleigh South,31597,1051000,991000,20,27
224,224,Officer,31647,591000,601000,63,58
225,225,Ormond,31767,1392000,1420000,13,25
226,226,Pakenham,31947,531000,575000,195,146
227,227,Parkdale,32107,,,3,6
228,228,Parkville,32107,,,3,6
229,229,Pascoe Vale,32147,791000,788000,67,56
230,230,Plumpton,32897,,,,
231,231,Point Cook,32927,631000,640000,243,188
232,232,Port Melbourne,33267,1680000,1491000,40,46
233,233,Prahran,33397,1575000,1500000,23,34
234,234,Preston,33507,1015000,975000,86,78
235,235,Princes Hill,33537,,,3,3
236,236,Reservoir,34167,753000,793000,129,106
237,237,Richmond,34297,1345000,1286000,61,59
238,238,Riddells Creek,34347,688000,,10,9
239,239,Ringwood,34397,831000,870000,49,47
240,240,Ringwood East,34437,875000,875000,27,30
241,241,Ringwood North,34477,934000,871000,22,30
242,242,Ripponlea,34527,,,2,2
243,243,Rockbank,34697,,,2,5
244,244,Rosanna,34817,1048000,1075000,22,20
245,245,Rowville,35057,860000,852000,102,96
246,246,Roxburgh Park,35077,595000,577000,52,52
247,247,Sandhurst,35597,805000,840000,34,23
248,248,Sandringham,35637,1538000,1770000,32,29
249,249,Scoresby,35767,855000,828000,16,17
250,250,Seabrook,35847,685000,650000,18,17
251,251,Seaford,35867,685000,690000,75,72
252,252,Seaholme,35887,,,6,6
253,253,Seddon,35997,1170000,1073000,16,20
254,254,Silvan,36387,,,4,3
255,255,Skye,36517,615000,619000,42,16
256,256,South Kingsville,36757,,1005000,3,14
257,257,South Melbourne,36797,1730000,1577000,27,27
258,258,South Morang,36827,680000,660000,73,60
259,259,South Yarra,36877,1603000,1600000,32,27
260,260,Southbank,36897,,,1,2
261,261,Spotswood,36987,,950000,5,11
262,262,Springvale,37117,766000,725000,30,25
263,263,Springvale South,37157,710000,716000,15,14
264,264,St Albans,37177,615000,590000,76,75
265,265,St Helena,37357,1008000,,12,8
266,266,St Kilda,37407,3100000,1239000,25,12
267,267,Strathmore,38037,1525000,1113000,33,21
268,268,Strathmore Heights,38047,,,3,2
269,269,Sunbury,38197,565000,580000,159,128
270,270,Sunshine,38277,815000,810000,29,23
271,271,Sunshine North,38287,676000,639000,35,21
272,272,Sunshine West,38297,655000,640000,57,31
273,273,Surrey Hills,38357,1998000,1650000,27,40
274,274,Sydenham,38547,555000,601000,26,17
275,275,Tarneit,39087,540000,570000,219,135
276,276,Taylors Hill,39447,746000,723000,31,34
277,277,Taylors Lakes,39487,755000,770000,26,18
278,278,Templestowe,39607,1340000,1400000,51,36
279,279,Templestowe Lower,39637,1200000,1208000,30,39
280,280,The Basin,39797,,,6,9
281,281,Thomastown,39897,600000,629000,33,38
282,282,Thornbury,39937,1117000,1170000,52,47
283,283,Toorak,40457,3430000,4015000,24,23
284,284,Travancore,40727,,,6,1
285,285,Truganina,40897,578000,580000,106,91
286,286,Tullamarine,40947,690000,600000,14,20
287,287,Upwey,41407,775000,771000,26,22
288,288,Vermont,41507,978000,1068000,28,32
289,289,Vermont South,41517,1240000,1152000,23,25
290,290,Viewbank,41617,970000,1025000,13,11
291,291,Wallan,41947,505000,518000,61,44
292,292,Wantirna,42327,920000,910000,37,32
293,293,Wantirna South,42337,1008000,1044000,63,39
294,294,Warrandyte,42597,1225000,980000,14,21
295,295,Waterways,42857,,,7,8
296,296,Watsonia,42887,790000,794000,19,22
297,297,Watsonia North,42897,752000,777000,11,12
298,298,Werribee,43317,514000,533000,162,122
299,299,West Footscray,43407,808000,779000,32,35
300,300,West Melbourne,43457,,,5,6
301,301,Westmeadows,43577,590000,585000,22,19
302,302,Wheelers Hill,43647,1171000,1128000,41,44
303,303,Whittlesea,43777,599000,613000,28,20
304,304,Williams Landing,48227,693000,702000,26,22
305,305,Williamstown,43967,1327000,1535000,36,36
306,306,Williamstown North,43977,,,2,4
307,307,Windsor,44117,1740000,1518000,12,17
308,308,Wollert,44357,601000,619000,123,67
309,309,Wonga Park,44437,1715000,,10,5
310,310,Wyndham Vale,45307,490000,473000,69,58
311,311,Yallambie,45427,,,9,7
312,312,Yarra Glen,45657,838000,771000,12,11
313,313,Yarraville,45777,982000,1000000,59,48
